Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
195405,-0.32
195406,-0.42
195407,-0.35
195408,-0.05
195409,-0.11
195410,-0.05
195411,-0.04
195412,-0.07
195501,-0.06
195502,-0.06
195503,-0.39
195504,-0.33
195505,-0.49
195506,-0.02
195507,-0.58
195508,-0.10
195509,-0.10
195510,-0.42
195511,-0.27
195512,-0.42
195601,-0.58
195602,-0.16
195603,-0.18
195604,-0.47
195605,-0.65
195606,-0.56
195607,-0.09
195608,-0.52
195609,-0.48
195610,-0.40
195611,-0.52
195612,-0.38
195701,-0.12
195702,-0.25
195703,-0.01
195704,0.11
195705,0.38
195706,0.40
195707,-0.25
195708,0.12
195709,-0.01
195710,0.31
195711,0.31
195712,0.29
195801,0.21
195802,0.36
195803,0.33
195804,0.54
195805,0.50
195806,0.22
195807,0.59
195808,-0.19
195809,-0.15
195810,0.06
195811,0.22
195812,-0.10
195901,0.03
195902,0.22
195903,0.25
195904,0.28
195905,0.06
195906,0.22
195907,0.51
195908,0.01
195909,0.07
195910,0.14
195911,0.24
195912,-0.07
196001,0.16
196002,-0.03
196003,-0.13
196004,-0.15
196005,-0.72
196006,-0.14
196007,-0.13
196008,-0.08
196009,-0.05
196010,0.23
196011,-0.13
196012,0.18
196101,0.13
196102,0.04
196103,0.23
196104,0.38
196105,0.42
196106,0.09
196107,0.11
196108,0.12
196109,0.47
196110,0.45
196111,0.11
196112,-0.02
196201,-0.12
196202,0.07
196203,0.11
196204,-0.05
196205,-0.44
196206,0.24
196207,-0.24
196208,-0.04
196209,0.23
196210,-0.02
196211,0.42
196212,0.08
196301,-0.16
196302,-0.02
196303,0.07
196304,-0.07
196305,-0.08
196306,-0.04
196307,0.19
196308,0.25
196309,0.34
196310,0.30
196311,-0.08
196312,0.08
196401,0.11
196402,0.12
196403,0.21
196404,0.13
196405,-0.04
196406,-0.31
196407,-0.24
196408,-0.04
196409,-0.10
196410,-0.60
196411,-0.38
196412,-0.58
196501,-0.14
196502,0.43
196503,-0.22
196504,-0.22
196505,0.03
196506,0.39
196507,-0.19
196508,0.28
196509,0.16
196510,0.09
196511,0.03
196512,0.07
196601,0.21
